"id","catalogueNumber","scientificNameIntepreted","latitude","longitude","coordinateUncertaintyInMetres","month","year","basisOfRecord"
"d3c24a99-d99d-49a4-b9a1-f065afb5ede6","SPJGI2963519","Argyrodendron trifoliolatum",-28.3664430236281,152.802059,100,10,1994,"HUMAN_OBSERVATION"
"d3fa9f04-9a3d-4451-9241-368337f687ad","SJJSI1270277","Argyrodendron trifoliolatum",-28.8501380244308,153.448521,50,9,2019,"HUMAN_OBSERVATION"
"d59076e0-1d45-4121-bb34-b613a6a3aa9c","70785287","Argyrodendron trifoliolatum",-26.764133,152.893967,26,3,2021,"HUMAN_OBSERVATION"
"d62a8430-ea94-439d-8fd8-5be6c8b879a1","SPJGI6117672","Argyrodendron trifoliolatum",-28.3983440236811,153.236702,10,7,2019,"HUMAN_OBSERVATION"
"d8780169-a528-43ab-928f-fabd328243ba","SJJSI0744273","Argyrodendron trifoliolatum",-28.6377400240787,153.3285,5,6,2015,"HUMAN_OBSERVATION"
"d8c5c584-27fc-4b69-9e52-06ab7ab81b68","SPJGI3896369","Argyrodendron trifoliolatum",-30.4022470269728,152.990474,100,7,2009,"HUMAN_OBSERVATION"
"d93ad995-55ca-4632-9f66-dbd1e928cb12","SAOH1707280B","Argyrodendron trifoliolatum",-28.7959680243411,153.284968,10,5,2017,"HUMAN_OBSERVATION"
"d9d62201-0a31-4118-b778-6fbdaeb235bc","SJJSI0391157","Argyrodendron trifoliolatum",-28.6715620241349,153.586344,10,6,2017,"HUMAN_OBSERVATION"
"d9e6ae61-f43b-42a5-b0e6-470c24779986","SAOH17062662","Argyrodendron trifoliolatum",-28.8663280244576,153.404794,5,5,2017,"HUMAN_OBSERVATION"
"da2e9834-119f-4b84-9348-c620058e91a9","SPJGI3551700","Argyrodendron trifoliolatum",-28.3238760235573,153.189876,100,3,1992,"HUMAN_OBSERVATION"
"db19c705-2e86-43a6-bf09-2fefbc5b61f4","SPJGI3836548","Argyrodendron trifoliolatum",-28.4225450237213,153.045989,100,8,1994,"HUMAN_OBSERVATION"
"db704583-eaef-4926-9535-a740753dcb40","SIXRI1508028","Argyrodendron trifoliolatum",-30.2369110267054,152.966482,8,12,2015,"HUMAN_OBSERVATION"
"dce806fa-18ef-42cc-8ac6-e0f5a2db4221","SPJGI3572991","Argyrodendron trifoliolatum",-28.9278380245595,152.773299,10000,1,1970,"HUMAN_OBSERVATION"
"de14c0ae-e1ca-44e5-ba1d-7b5d1a59808c","SPJGI2808871","Argyrodendron trifoliolatum",-28.5213030238854,153.384318,100,1,1994,"HUMAN_OBSERVATION"
"de20dd11-7790-47eb-ad83-6f4590723beb","SEMT18050213","Argyrodendron trifoliolatum",-28.5093100238655,152.769417,10,12,2017,"HUMAN_OBSERVATION"
"de3ef5da-89d9-43e5-9433-f5d3128ca2f9","SAOH19061965","Argyrodendron trifoliolatum",-28.400691023685,153.042764,10,5,2019,"HUMAN_OBSERVATION"
"df85143f-9531-4b3e-8319-7bfb031e748b","SIXRI0948783","Argyrodendron trifoliolatum",-30.0879170264636,153.151667,8,7,2015,"HUMAN_OBSERVATION"
"dfb7cfcd-d624-435d-9c20-d5da83c36f77","SPJGI3176965","Argyrodendron trifoliolatum",-28.4357260237432,153.461638,100,11,2006,"HUMAN_OBSERVATION"
"dfbbfdb7-b35f-4f1d-919e-bd4a061dcef6","SAOH17081806","Argyrodendron trifoliolatum",-28.7445200242558,153.444833,5,8,2017,"HUMAN_OBSERVATION"
"e0b7e500-e0be-4e38-9dd0-79b555a0e900","SEMT1805021H","Argyrodendron trifoliolatum",-28.7980640243446,152.739683,10,12,2017,"HUMAN_OBSERVATION"
"e0f161ac-9e67-4076-9d2f-166ec99dc086","SJJSI0744292","Argyrodendron trifoliolatum",-28.6362500240763,153.3302,5,2,2016,"HUMAN_OBSERVATION"
"e1abdc6c-54a9-413a-99dc-2b833ae8f6d8","83747076","Argyrodendron trifoliolatum",-28.096972,153.058089,29656,6,2021,"HUMAN_OBSERVATION"
"e1ae1a10-2adb-47b9-a83b-0a550536ce51","SPJGI5289008","Argyrodendron trifoliolatum",-28.6299940240659,153.208707,7,11,2017,"HUMAN_OBSERVATION"
"e1eb7452-aa57-4832-976b-33a03175b245","SPJGI3572219","Argyrodendron trifoliolatum",-28.8108110243657,153.298778,10000,1,1970,"HUMAN_OBSERVATION"
"e21620d6-a8d6-418f-ae4e-c477aa57d96c","SDMPI0116074","Argyrodendron trifoliolatum",-28.6698940241321,153.604905,1000,6,2005,"HUMAN_OBSERVATION"
"e2d13f03-5e6d-4cd9-b403-4f2b450c2fbb","SPJGI5347103","Argyrodendron trifoliolatum",-28.5060570238601,152.762568,10,4,2018,"HUMAN_OBSERVATION"
